percPairInter,countInterCC,countNoInterCC,minInterCC,avgInterCC,maxInterCC,minNoInterCC,avgNoInterCC,maxNoInterCC,minTotalCC,avgTotalCC,maxTotalCC
0.1,162,2316,2.203008,2.287848,2.690909,0.314815,0.989423,5.657895,0.314815,1.119265,5.657895
0.2,138,2328,2.223214,2.286316,2.900000,0.386364,0.986230,4.563636,0.386364,1.246248,4.563636
0.3,106,2232,2.234234,2.296858,3.688073,0.314815,0.979680,4.545455,0.314815,1.374833,4.545455
0.4,140,2424,1.682432,2.276947,2.472727,0.290909,0.980189,4.581818,0.290909,1.498892,4.581818
0.5,150,2208,1.726027,2.277621,2.945455,0.346939,0.978075,4.600000,0.346939,1.627848,4.600000
0.6,128,2310,2.243243,2.299469,3.241379,0.309091,0.979900,4.581818,0.309091,1.771642,4.581818
0.7,138,2332,1.671141,2.289935,3.284404,0.541284,0.979688,4.563636,0.541284,1.896861,4.563636
0.8,146,2376,1.472477,2.282625,3.330275,0.430380,0.974364,4.563636,0.430380,2.020973,4.563636
0.9,146,2374,1.709459,2.285313,2.935780,0.541284,0.975524,4.545455,0.541284,2.154334,4.545455
