percPairInter,countInterCT,countNoInterCT,minInterCT,avgInterCT,maxInterCT,minNoInterCT,avgNoInterCT,maxNoInterCT,minTotalCT,avgTotalCT,maxTotalCT
0.1,93208,157340,0.919614,2.211428,4.850000,0.179310,1.492824,16.608696,0.179310,1.564684,16.608696
0.2,92534,157090,1.308756,2.211770,6.008000,0.209302,1.484973,16.043478,0.209302,1.630333,16.043478
0.3,93330,156280,1.028986,2.211419,5.314050,0.211009,1.505492,15.782609,0.211009,1.717270,15.782609
0.4,93060,157482,1.276018,2.211596,3.965517,0.196970,1.490961,15.739130,0.196970,1.779215,15.739130
0.5,93114,157308,1.035971,2.211075,3.517241,0.185484,1.469340,15.652174,0.185484,1.840207,15.652174
0.6,92928,157176,1.035461,2.211384,3.874074,0.200000,1.478300,17.000000,0.200000,1.918150,17.000000
0.7,93008,156680,1.071429,2.211352,5.078740,0.184000,1.480378,15.545455,0.184000,1.992060,15.545455
0.8,92384,156872,1.353774,2.212108,4.308219,0.218182,1.471512,17.826087,0.218182,2.063989,17.826087
0.9,93200,156712,1.010676,2.211503,3.870968,0.150602,1.497304,15.708333,0.150602,2.140083,15.708333
