percPairInter,countInterTT,countNoInterTT,minInterTT,avgInterTT,maxInterTT,minNoInterTT,avgNoInterTT,maxNoInterTT,minTotalTT,avgTotalTT,maxTotalTT
0.1,51236,199138,0.272840,0.542323,0.764244,0.030021,0.951824,31.058824,0.030021,0.910874,31.058824
0.2,50288,200240,0.272670,0.542131,0.993947,0.030928,0.949663,30.705882,0.030928,0.868156,30.705882
0.3,50642,198302,0.273651,0.541412,1.019949,0.031204,0.954078,30.028571,0.031204,0.830279,30.028571
0.4,50820,199594,0.275510,0.542126,0.822251,0.030724,0.946459,30.647059,0.030724,0.784726,30.647059
0.5,51302,199126,0.271644,0.542179,0.842747,0.030860,0.953658,30.342857,0.030860,0.747918,30.342857
0.6,50620,199178,0.271636,0.541696,0.849780,0.030590,0.951476,30.542857,0.030590,0.705608,30.542857
0.7,50756,198874,0.250503,0.542665,0.781110,0.030501,0.955406,30.941176,0.030501,0.666488,30.941176
0.8,50744,200026,0.271930,0.542535,0.808280,0.030792,0.949183,30.200000,0.030792,0.623865,30.200000
0.9,50508,198968,0.270507,0.542111,0.929974,0.030657,0.947044,30.470588,0.030657,0.582604,30.470588
