percPairInter,countInterTC,countNoInterTC,minInterTC,avgInterTC,maxInterTC,minNoInterTC,avgNoInterTC,maxNoInterTC,minTotalTC,avgTotalTC,maxTotalTC
0.1,93594,156894,0.841176,2.222869,4.369231,0.165563,1.496023,15.920000,0.165563,1.568708,15.920000
0.2,92654,157246,1.267857,2.223137,4.209302,0.152047,1.505052,15.863636,0.152047,1.648669,15.863636
0.3,93306,155870,0.972789,2.222912,4.846154,0.140541,1.504568,15.875000,0.140541,1.720071,15.875000
0.4,93620,156944,1.339450,2.222929,4.152672,0.212598,1.502227,17.739130,0.212598,1.790508,17.739130
0.5,93278,156696,0.986301,2.223659,3.523529,0.107296,1.497913,16.000000,0.107296,1.860786,16.000000
0.6,93072,157050,1.231441,2.223101,3.927007,0.187050,1.511268,19.120000,0.187050,1.938368,19.120000
0.7,93414,157042,1.466321,2.222838,3.476190,0.196850,1.496165,16.260870,0.196850,2.004836,16.260870
0.8,93238,156024,1.141221,2.223055,4.556391,0.179688,1.517567,17.538462,0.179688,2.081958,17.538462
0.9,93214,156270,1.199170,2.222690,3.531646,0.216667,1.494669,15.818182,0.216667,2.149888,15.818182
