percPairInter,countInterCC,countNoInterCC,minInterCC,avgInterCC,maxInterCC,minNoInterCC,avgNoInterCC,maxNoInterCC,minTotalCC,avgTotalCC,maxTotalCC
0.1,6,42,1.241782,1.247249,1.260770,0.173975,0.458276,1.882507,0.173975,0.537174,1.882507
0.2,10,34,1.234917,1.246115,1.259008,0.116988,0.404151,2.518106,0.116988,0.572544,2.518106
0.3,8,22,1.228228,1.251725,1.279761,0.174459,0.790936,3.677927,0.174459,0.929173,3.677927
0.4,16,30,1.234705,1.245817,1.267111,0.171644,0.398251,2.029657,0.171644,0.737277,2.029657
0.5,12,36,1.227698,1.245973,1.264351,0.174581,0.408667,1.635300,0.174581,0.827320,1.635300
0.6,16,42,1.234144,1.246035,1.260513,0.118872,0.552832,4.715515,0.118872,0.968753,4.715515
0.7,20,22,1.231347,1.244670,1.260487,0.168956,0.452400,3.034293,0.168956,1.006989,3.034293
0.8,2,40,1.262714,1.263891,1.265068,0.168666,0.501604,2.699506,0.168666,1.111434,2.699506
0.9,12,40,1.233068,1.250663,1.265849,0.172295,0.492513,3.750760,0.172295,1.174848,3.750760
