percPairInter,countInterTC,countNoInterTC,minInterTC,avgInterTC,maxInterTC,minNoInterTC,avgNoInterTC,maxNoInterTC,minTotalTC,avgTotalTC,maxTotalTC
0.1,58540,191268,0.930435,1.872295,3.483871,0.328125,1.291334,11.825000,0.328125,1.349430,11.825000
0.2,58534,191474,1.138298,1.872086,3.241935,0.323529,1.292820,7.642857,0.323529,1.408673,7.642857
0.3,58706,191722,0.832117,1.871947,3.368421,0.380000,1.291753,7.642857,0.380000,1.465811,7.642857
0.4,58660,190726,0.872000,1.872148,4.933333,0.185185,1.291549,11.394737,0.185185,1.523789,11.394737
0.5,58774,191288,0.983333,1.872414,3.067797,0.310811,1.290295,7.785714,0.310811,1.581354,7.785714
0.6,58590,191608,0.902439,1.872386,3.175439,0.250000,1.288717,7.785714,0.250000,1.638919,7.785714
0.7,58298,192024,0.899160,1.872224,3.080645,0.361702,1.289644,7.642857,0.361702,1.697450,7.642857
0.8,59060,191682,1.034783,1.872066,3.203390,0.285714,1.293018,7.642857,0.285714,1.756256,7.642857
0.9,58778,190622,1.037037,1.872167,3.032787,0.259259,1.292851,7.571429,0.259259,1.814235,7.571429
