percPairInter,countInterCC,countNoInterCC,minInterCC,avgInterCC,maxInterCC,minNoInterCC,avgNoInterCC,maxNoInterCC,minTotalCC,avgTotalCC,maxTotalCC
0.1,22,26,3.599516,3.719138,3.828322,0.227480,0.996607,8.739075,0.227480,1.268861,8.739075
0.2,10,36,3.716485,3.770911,3.856229,0.226540,2.124995,18.752212,0.226540,2.454178,18.752212
0.3,14,32,3.695264,3.770771,3.867871,0.223448,1.617742,18.368550,0.223448,2.263650,18.368550
0.4,16,38,3.656528,3.738615,3.849742,0.224733,2.207361,18.646617,0.224733,2.819862,18.646617
0.5,28,22,3.444032,3.731793,3.861076,0.255438,1.367490,10.896215,0.255438,2.549642,10.896215
0.6,20,32,3.616707,3.744436,3.819643,0.229639,1.155113,8.938119,0.229639,2.708707,8.938119
0.7,10,34,3.627941,3.733124,3.896498,0.239346,1.254058,13.998679,0.239346,2.989404,13.998679
0.8,16,24,3.657164,3.731236,3.824727,0.339319,2.947149,19.325193,0.339319,3.574419,19.325193
0.9,16,34,3.631986,3.711235,3.770975,0.222177,0.825977,8.329253,0.222177,3.422709,8.329253
