percPairInter,countInterTC,countNoInterTC,minInterTC,avgInterTC,maxInterTC,minNoInterTC,avgNoInterTC,maxNoInterTC,minTotalTC,avgTotalTC,maxTotalTC
0.1,58688,39050,0.739726,1.791650,4.213115,0.277108,1.348319,7.066667,0.277108,1.392652,7.066667
0.2,58606,39010,0.686275,1.792611,4.786885,0.186047,1.348956,7.687500,0.186047,1.437687,7.687500
0.3,58296,38898,0.594286,1.793437,4.770492,0.283582,1.352914,10.500000,0.283582,1.485071,10.500000
0.4,58578,39678,0.670968,1.797879,4.245902,0.265060,1.355278,9.687500,0.265060,1.532319,9.687500
0.5,58172,39696,0.704819,1.795388,4.693548,0.258427,1.353734,8.687500,0.258427,1.574561,8.687500
0.6,58304,39348,0.772059,1.794255,4.306452,0.243590,1.347491,9.125000,0.243590,1.615550,9.125000
0.7,58898,39290,0.588889,1.792286,4.612903,0.258824,1.351735,10.625000,0.258824,1.660121,10.625000
0.8,58632,39036,0.632530,1.795986,4.741935,0.225490,1.348322,9.937500,0.225490,1.706453,9.937500
0.9,58466,39202,0.801325,1.789436,3.645161,0.261194,1.354912,8.250000,0.261194,1.745983,8.250000
