percPairInter,countInterTo,countNoInterTo,minInterTo,avgInterTo,maxInterTo,minNoInterTo,avgNoInterTo,maxNoInterTo,minTotalTo,avgTotalTo,maxTotalTo
0.1,157948,842052,0.156250,0.487254,1.303819,0.045977,0.686466,9.000000,0.045977,0.666545,9.000000
0.2,157736,842264,0.187699,0.488001,1.045375,0.046605,0.685255,9.029412,0.046605,0.645804,9.029412
0.3,158814,841186,0.171701,0.486531,1.151724,0.048452,0.685121,9.117647,0.048452,0.625544,9.117647
0.4,157914,842084,0.174074,0.487662,1.053082,0.046667,0.685131,8.911765,0.046667,0.606144,8.911765
0.5,158068,841930,0.185146,0.487248,1.006885,0.046512,0.685591,9.441176,0.046512,0.586419,9.441176
0.6,158172,841828,0.164311,0.486540,1.287415,0.048193,0.684193,10.178571,0.048193,0.565601,10.178571
0.7,156462,843536,0.186441,0.487472,1.105341,0.047490,0.685271,9.205882,0.047490,0.546812,9.205882
0.8,158104,841896,0.178368,0.487436,1.132653,0.045860,0.685932,9.058824,0.045860,0.527135,9.058824
0.9,157992,842008,0.183221,0.486243,1.312715,0.047745,0.685672,9.235294,0.047745,0.506186,9.235294
