percPairInter,countInterTT,countNoInterTT,minInterTT,avgInterTT,maxInterTT,minNoInterTT,avgNoInterTT,maxNoInterTT,minTotalTT,avgTotalTT,maxTotalTT
0.1,104,520,1.148148,1.213395,2.400000,0.326241,2.848102,8.687500,0.326241,2.684631,8.687500
0.2,90,434,1.014151,1.190982,1.220779,0.321678,2.615424,9.200000,0.321678,2.330536,9.200000
0.3,64,492,1.140244,1.195909,1.220779,0.348485,2.739088,8.625000,0.348485,2.276135,8.625000
0.4,78,462,1.147239,1.194094,1.227273,0.323944,2.757510,9.200000,0.323944,2.132143,9.200000
0.5,80,454,0.872642,1.197902,1.600000,0.290123,2.883530,8.687500,0.290123,2.040716,8.687500
0.6,102,422,1.021739,1.198550,1.587097,0.296774,3.005159,8.625000,0.296774,1.921194,8.625000
0.7,90,446,1.141975,1.193918,1.258065,0.300654,2.784671,8.625000,0.300654,1.671144,8.625000
0.8,88,422,1.121951,1.195174,1.220779,0.351145,2.851065,9.133333,0.351145,1.526352,9.133333
0.9,88,500,1.142857,1.192603,1.220779,0.296774,2.804486,9.333333,0.296774,1.353791,9.333333
