percPairInter,countInterCT,countNoInterCT,minInterCT,avgInterCT,maxInterCT,minNoInterCT,avgNoInterCT,maxNoInterCT,minTotalCT,avgTotalCT,maxTotalCT
0.1,12002,38444,1.010417,1.713067,2.532258,0.217391,0.825422,8.750000,0.217391,0.914187,8.750000
0.2,11956,38176,1.229885,1.713030,2.661290,0.315789,0.824548,6.733333,0.315789,1.002244,6.733333
0.3,11746,38022,1.000000,1.713535,2.636364,0.232143,0.827049,7.066667,0.232143,1.092995,7.066667
0.4,11746,38216,1.109890,1.713291,2.639344,0.282051,0.821866,6.600000,0.282051,1.178436,6.600000
0.5,11956,38182,0.975155,1.714598,2.557377,0.218182,0.829538,6.866667,0.218182,1.272068,6.866667
0.6,11472,38530,1.367089,1.712784,2.131148,0.324324,0.824166,6.733333,0.324324,1.357337,6.733333
0.7,11706,37916,1.211111,1.713712,2.590164,0.307692,0.826515,6.666667,0.307692,1.447553,6.666667
0.8,11890,38480,1.366197,1.713645,2.919355,0.302326,0.822681,6.800000,0.302326,1.535452,6.800000
0.9,11956,38500,0.884615,1.713273,2.534483,0.276596,0.823944,6.600000,0.276596,1.624340,6.600000
