percPairInter,countInterTo,countNoInterTo,minInterTo,avgInterTo,maxInterTo,minNoInterTo,avgNoInterTo,maxNoInterTo,minTotalTo,avgTotalTo,maxTotalTo
0.1,48234,951766,0.761111,1.767044,3.410959,0.268908,2.510886,12.000000,0.268908,2.436502,12.000000
0.2,48376,951624,0.859060,1.762060,4.000000,0.231343,2.511911,23.727273,0.231343,2.361941,23.727273
0.3,48790,951210,0.803797,1.760892,2.821918,0.281818,2.510699,10.800000,0.281818,2.285757,10.800000
0.4,48160,951840,0.777778,1.761525,3.027397,0.221429,2.508195,10.727273,0.221429,2.209527,10.727273
0.5,48608,951392,0.718391,1.758429,3.083333,0.240602,2.512879,14.900000,0.240602,2.135654,14.900000
0.6,48530,951470,0.694444,1.768333,2.794521,0.258333,2.511933,11.818182,0.258333,2.065773,11.818182
0.7,48282,951718,0.868966,1.768065,3.833333,0.274336,2.512807,11.250000,0.274336,1.991487,11.250000
0.8,47684,952316,0.570248,1.764019,4.776316,0.170455,2.512480,18.909091,0.170455,1.913712,18.909091
0.9,48374,951626,0.506452,1.762138,5.621622,0.164251,2.513969,23.928571,0.164251,1.837321,23.928571
