percPairInter,countInterTC,countNoInterTC,minInterTC,avgInterTC,maxInterTC,minNoInterTC,avgNoInterTC,maxNoInterTC,minTotalTC,avgTotalTC,maxTotalTC
0.1,38898,76942,0.243434,0.431617,0.727151,0.059968,0.767207,9.322581,0.059968,0.733648,9.322581
0.2,39586,76834,0.251876,0.431416,0.852555,0.059561,0.765627,9.451613,0.059561,0.698785,9.451613
0.3,39352,76744,0.278726,0.431372,0.749640,0.060032,0.769871,9.387097,0.060032,0.668321,9.387097
0.4,39498,77170,0.219067,0.431584,1.030612,0.058915,0.764164,9.419355,0.058915,0.631132,9.419355
0.5,39696,76432,0.220508,0.431570,0.622318,0.060413,0.767253,9.218750,0.060413,0.599411,9.218750
0.6,39466,76902,0.258683,0.431351,0.641834,0.060656,0.759138,9.322581,0.060656,0.562466,9.322581
0.7,38870,75978,0.224192,0.431612,0.671470,0.057315,0.768948,9.451613,0.057315,0.532813,9.451613
0.8,39714,77058,0.260173,0.431769,0.717579,0.060510,0.768384,9.741935,0.060510,0.499092,9.741935
0.9,38500,76702,0.280105,0.431759,0.953103,0.060163,0.764277,9.580645,0.060163,0.465011,9.580645
