percPairInter,countInterCC,countNoInterCC,minInterCC,avgInterCC,maxInterCC,minNoInterCC,avgNoInterCC,maxNoInterCC,minTotalCC,avgTotalCC,maxTotalCC
0.1,13262,36800,0.968254,2.343391,4.296296,0.209677,0.775211,3.562500,0.209677,0.932029,4.296296
0.2,12974,37340,2.010101,2.343833,3.549020,0.333333,0.774786,4.073171,0.333333,1.088595,4.073171
0.3,13056,36724,1.631579,2.344679,3.000000,0.222222,0.777742,4.275000,0.222222,1.247823,4.275000
0.4,13018,36756,1.509804,2.343691,3.245283,0.236364,0.774182,3.307692,0.236364,1.401986,3.307692
0.5,13388,36556,1.220000,2.343697,3.826923,0.363636,0.776539,3.384615,0.363636,1.560118,3.826923
0.6,13306,36924,1.319149,2.343599,3.211538,0.226415,0.779392,3.342105,0.226415,1.717916,3.342105
0.7,13336,36754,1.166667,2.343364,2.923077,0.375000,0.780052,3.410256,0.375000,1.874371,3.410256
0.8,13254,37156,1.326316,2.343609,3.288462,0.282051,0.775222,3.410256,0.282051,2.029932,3.410256
0.9,13082,36668,1.111111,2.344977,3.433962,0.196970,0.778204,3.902439,0.196970,2.188299,3.902439
