percPairInter,countInterTo,countNoInterTo,minInterTo,avgInterTo,maxInterTo,minNoInterTo,avgNoInterTo,maxNoInterTo,minTotalTo,avgTotalTo,maxTotalTo
0.1,52432,147568,0.302134,1.630643,2.930846,0.026139,0.661285,26.810811,0.026139,0.758221,26.810811
0.2,52180,147820,0.295530,1.626781,2.954587,0.027092,0.673350,26.611111,0.027092,0.864037,26.611111
0.3,52248,147752,0.291235,1.633845,3.050224,0.026877,0.670821,26.567568,0.026877,0.959728,26.567568
0.4,52180,147820,0.284750,1.628638,3.037367,0.026814,0.673728,26.486486,0.026814,1.055692,26.486486
0.5,52680,147318,0.301759,1.634563,2.958521,0.026054,0.678659,27.648649,0.026054,1.156611,27.648649
0.6,52366,147634,0.295597,1.635157,3.451040,0.027353,0.676351,26.921053,0.027353,1.251635,26.921053
0.7,52046,147954,0.287386,1.624435,3.121185,0.026657,0.675858,27.342857,0.026657,1.339862,27.342857
0.8,52548,147452,0.288344,1.632646,3.537377,0.026604,0.682568,27.600000,0.026604,1.442631,27.600000
0.9,52282,147718,0.296322,1.620332,2.929745,0.026154,0.674348,27.916667,0.026154,1.525733,27.916667
