percPairInter,countInterTC,countNoInterTC,minInterTC,avgInterTC,maxInterTC,minNoInterTC,avgNoInterTC,maxNoInterTC,minTotalTC,avgTotalTC,maxTotalTC
0.1,65582,183946,0.389928,1.375972,2.802360,0.031157,0.816626,23.326531,0.031157,0.872561,23.326531
0.2,65964,184364,0.440895,1.375880,2.602056,0.031555,0.809641,23.166667,0.031555,0.922889,23.166667
0.3,65128,184432,0.448031,1.376625,2.804787,0.031320,0.816350,23.520833,0.031320,0.984433,23.520833
0.4,65670,184124,0.438875,1.376058,3.087842,0.031114,0.804804,23.387755,0.031114,1.033305,23.387755
0.5,65748,184292,0.445885,1.375641,2.479042,0.032037,0.822639,23.604167,0.032037,1.099140,23.604167
0.6,65806,185352,0.443908,1.375559,2.541979,0.031603,0.814424,23.061224,0.031603,1.151105,23.061224
0.7,65942,184196,0.449612,1.377563,2.801187,0.030973,0.810005,23.680851,0.030973,1.207296,23.680851
0.8,65564,184696,0.430012,1.376377,2.848915,0.031571,0.808994,23.080000,0.031571,1.262900,23.080000
0.9,65726,184066,0.430467,1.376366,2.860674,0.031484,0.812602,23.895833,0.031484,1.319989,23.895833
