percPairInter,countInterTo,countNoInterTo,minInterTo,avgInterTo,maxInterTo,minNoInterTo,avgNoInterTo,maxNoInterTo,minTotalTo,avgTotalTo,maxTotalTo
0.1,233520,766438,0.728682,1.945942,4.885246,0.233010,1.284967,11.825000,0.233010,1.351065,11.825000
0.2,233556,766392,0.817391,1.945636,5.277778,0.301587,1.285739,7.785714,0.301587,1.417718,7.785714
0.3,234656,765298,0.681159,1.946502,3.882353,0.244681,1.286115,7.857143,0.244681,1.484231,7.857143
0.4,233502,766452,0.768000,1.944899,4.933333,0.170330,1.284528,11.394737,0.170330,1.548676,11.394737
0.5,234228,765736,0.842105,1.946698,3.980769,0.310811,1.285151,7.785714,0.310811,1.615925,7.785714
0.6,234820,765146,0.736842,1.945708,4.021978,0.250000,1.284432,7.785714,0.250000,1.681198,7.785714
0.7,233966,766004,0.728682,1.947499,4.509434,0.302632,1.285356,7.714286,0.302632,1.748856,7.714286
0.8,234632,765342,0.761905,1.944300,4.166667,0.285714,1.286189,10.857143,0.285714,1.812678,10.857143
0.9,234556,765402,0.758065,1.946977,3.961538,0.225000,1.285286,8.533333,0.225000,1.880808,8.533333
