percPairInter,countInterTT,countNoInterTT,minInterTT,avgInterTT,maxInterTT,minNoInterTT,avgNoInterTT,maxNoInterTT,minTotalTT,avgTotalTT,maxTotalTT
0.1,50686,38646,0.511236,1.319139,3.029851,0.253623,1.400182,8.857143,0.253623,1.392078,8.857143
0.2,51752,39220,0.521739,1.320397,2.736842,0.219512,1.396849,9.866667,0.219512,1.381558,9.866667
0.3,51290,38846,0.546875,1.320949,3.253731,0.241135,1.401111,9.866667,0.241135,1.377062,9.866667
0.4,51240,38908,0.479798,1.325944,3.705882,0.211538,1.403929,10.066667,0.211538,1.372735,10.066667
0.5,51148,39104,0.510870,1.323898,3.301370,0.230769,1.400563,11.071429,0.230769,1.362231,11.071429
0.6,51654,39090,0.408511,1.322525,3.126761,0.231707,1.407389,10.400000,0.231707,1.356471,10.400000
0.7,51536,38522,0.562500,1.322615,3.239437,0.171598,1.405128,9.066667,0.171598,1.347369,9.066667
0.8,51702,39072,0.513661,1.325192,3.527778,0.230000,1.406382,9.875000,0.230000,1.341430,9.875000
0.9,51624,39274,0.564417,1.315612,2.734177,0.286885,1.394864,8.066667,0.286885,1.323538,8.066667
