percPairInter,countInterTo,countNoInterTo,minInterTo,avgInterTo,maxInterTo,minNoInterTo,avgNoInterTo,maxNoInterTo,minTotalTo,avgTotalTo,maxTotalTo
0.1,74634,125360,0.910072,2.110064,3.514925,0.124088,1.145043,14.344828,0.124088,1.241545,14.344828
0.2,73860,126132,0.992727,2.110075,5.152672,0.144144,1.147273,14.791667,0.144144,1.339833,14.791667
0.3,74130,125864,1.089844,2.106538,3.837037,0.128000,1.132652,15.357143,0.128000,1.424818,15.357143
0.4,74030,125960,1.141553,2.108509,4.676259,0.100000,1.140739,14.269231,0.100000,1.527847,14.269231
0.5,74402,125588,1.183099,2.106226,3.076923,0.119658,1.146142,14.678571,0.119658,1.626184,14.678571
0.6,74214,125778,1.162679,2.105662,4.507463,0.121429,1.151892,14.080000,0.121429,1.724154,14.080000
0.7,74054,125934,1.131222,2.106917,3.932331,0.109290,1.151658,14.000000,0.109290,1.820339,14.000000
0.8,74348,125644,0.776074,2.107760,3.343195,0.131579,1.141269,13.920000,0.131579,1.914462,13.920000
0.9,74448,125544,1.120370,2.106101,3.446970,0.144144,1.142434,14.840000,0.144144,2.009734,14.840000
